REPORTING YEAR,INSTITUTION OR ORGANIZATION,TYPE OF INSTITUTION OR ORGANIZATION,CITY,STATE,CREDIT CARD ISSUER,STATUS,IN EFFECT AS OF BEGINNING OF NEXT YEAR,TOTAL OPEN ACCOUNTS AS OF END OF REPORTING YEAR,PAYMENTS BY ISSUER,NEW ACCOUNTS OPENED IN REPORTING YEAR
2009,Sam Houston State University,University,Huntsville,TX,Chase Bank,,,1297,115000,-
2009,University of Louisiana at Lafayette Alumni Association,Alumni Association,Lafayette,LA,U.S. Bank National Association ND,,,4480,110000,158
2009,University of Dayton,University,Dayton,OH,"FIA Card Services, N.A.",,,1438,110000,77
2009,"Eastern Illinois University Alumni Association, Inc.",Alumni Association,Charleston,IL,"FIA Card Services, N.A.",,,4242,110000,65
2009,William Marsh Rice University,University,Houston,TX,"FIA Card Services, N.A.",,,2522,110000,31
2009,Wake Forest University,University,Winston-Salem,NC,"FIA Card Services, N.A.",,,3444,108715,45
2009,"Sigma Theta Tau International Honor Society of Nursing, Inc.",Other,Indianapolis,IN,"FIA Card Services, N.A.",,,4495,108376,243
2009,"Georgia State University Alumni Association, Inc.",Alumni Association,Atlanta,GA,"FIA Card Services, N.A.",,,2690,108340,141
2009,The College of the Holy Cross General Alumni Association,Alumni Association,Worcester,MA,"FIA Card Services, N.A.",,,2270,108081,19
2009,University of Wyoming Alumni Association,Alumni Association,Laramie,WY,"FIA Card Services, N.A.",,,4746,106586,69
2009,Alumnae Association of Smith College,Alumni Association,Northampton,MA,"FIA Card Services, N.A.",,,3253,105000,39
2009,Tennessee Technological University Alumni Association,Alumni Association,Cookeville,TN,"FIA Card Services, N.A.",,,1943,101963,39
2009,"University of California, San Diego Alumni Association",Alumni Association,San Diego,CA,"FIA Card Services, N.A.",,,164,100225,154
2009,Pittsburg State University Alumni Association,Alumni Association,Pittsburg,KS,Chase Bank,,,991,100000,-
2009,University of Wisconsin-Milwaukee Alumni Association,Alumni Association,Milwaukee,WI,U.S. Bank National Association ND,,,3020,100000,170
2009,California State University-Fullerton Alumni Association,Alumni Association,Fullerton,CA,"FIA Card Services, N.A.",,,1550,100000,128
2009,"East Carolina University Alumni Association, Inc.",Alumni Association,Greenville,NC,"FIA Card Services, N.A.",,,2929,100000,125
2009,Sacramento State Alumni Association,Alumni Association,Sacramento,CA,"FIA Card Services, N.A.",,,361,100000,114
2009,University of Texas at Arlington Alumni Association,Alumni Association,Arlington,TX,"FIA Card Services, N.A.",,,4395,100000,86
2009,DePaul University,University, Chicago,IL,"FIA Card Services, N.A.",,,410,100000,80
2009,Murray State University Alumni Association,Alumni Association,Murray,KY,U.S. Bank National Association ND,,,1763,100000,74
